Designator,Val,Package,MidX,MidY,Rotation,Layer
"C2","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",87.300000,-77.050000,0.000000,top
"C3","18p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",103.750000,-56.050000,0.000000,top
"C4","18p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",103.850000,-63.450000,180.000000,top
"C5","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",88.600000,-69.500000,0.000000,top
"C6","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",77.950000,-64.150000,90.000000,top
"C7","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",100.050000,-61.750000,90.000000,top
"C8","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",77.950000,-55.287500,270.000000,top
"C9","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",83.650000,-69.550000,180.000000,top
"D1","STATUS_LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",102.950000,-70.900000,90.000000,top
"D2","PWR","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",116.250000,-62.100000,270.000000,top
"F1","250mA","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",87.200000,-73.500000,0.000000,top
"J1","Conn_01x34","F52R-1A7H1-11034",89.600000,-43.910000,0.000000,top
"R1","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",70.150000,-47.800000,270.000000,top
"R2","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",111.100000,-57.400000,270.000000,top
"R3","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",102.950000,-74.850000,270.000000,top
"R4","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",116.250000,-57.950000,90.000000,top
"R5","22","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",97.700000,-70.550000,0.000000,top
"R6","22","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",97.700000,-72.450000,0.000000,top
"R7","??","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",84.800000,-47.250000,270.000000,top
"R8","??","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",86.750000,-47.250000,270.000000,top
"R9","2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",82.850000,-47.250000,270.000000,top
"R10","2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",103.650000,-48.800000,270.000000,top
"R11","2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",80.900000,-47.250000,270.000000,top
"R12","2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",105.600000,-48.800000,270.000000,top
"SW1","HWB_SW","SKRKAEE020",70.200000,-53.250000,270.000000,top
"SW2","RST_SW","SKRKAEE020",111.100000,-62.750000,270.000000,top
"U1","USBLC6-2SC6","SOT-23-6",97.750000,-75.900000,0.000000,top
"U2","AT90USB646-AU","TQFP-64_14x14mm_P0.8mm",88.930000,-58.550000,90.000000,top
"Y1","16 Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering",103.820000,-59.750000,270.000000,top
